Interessant?,Nachname,Vorname,Akadm. Titel,Anm./Spitzname,Theresienstädter Konvolut u. Liste R. Oppenhejm,Geb.,Geburtsort,Geburtsland,Gest.,Todesort,Todesland,Nationalität,Beruf,Berufszweig,Frau/Mann,Kinder,im Ghetto,Deportation,Transport,Bedeutung,im Film,Sequenzen,Ende,Quellen,Wikipedia,Ghetto Theresienstadt Lexikon,Internetquelle Sonstiges,Sekundärliteratur,Sekundärliteratur 2,Primärquellen,Bild,Bildquelle
,Adler,Maximilian,Prof. Dr. ,,,09/21/1884,Budweis,Böhmen,10/16/1944,KZ Auschwitz,Generalgouvernement (Polen),tschechoslowakischer,"Philologe, Professor für Klassische Philologie an der (deutschen) Karl-Ferdinands-Universität in Prag 1930-1939",Wissenschaft,,,"Im Ghetto leitete er das Bildungsreferat und unterrichtete jüdische Kinder. Er beteiligte sich auch an kulturellen Aktivitäten und verkehrte mit anderen prominenten Gefangenen, darunter der Rabbiner Leo Baeck, der Psychiater Viktor Frankl und der Geograf Alfred Philippson.",3/6/43,"Cv, nr. 245",,Vortrag S33,33,ermordet,,https://de.wikipedia.org/wiki/Maximilian_Adler ,,https://yvng.yadvashem.org/nameDetails.html?itemId=1109013 ; https://www.holocaust.cz/de/opferdatenbank/opfer/74467-maximilian-adler/ ,,"Susanne Blumesberger, Michael Doppelhofer, Gabriele Mauthe: Handbuch österreichischer Autorinnen und Autoren jüdischer Herkunft 18. bis 20. Jahrhundert. Band 1: A–I. Hrsg. von der Österreichische Nationalbibliothek. Saur, München 2002, ISBN 3-598-11545-8, S. 14.     Kulturní adresář ČSR.: Biografický slovník žijících kulturních pracovníků a pracovnic. 2. Ausgabe (1936), S. 10     Miroslav Kárný: Terezínská pamětní kniha. Prag 1995, S. 1172     Elena Makarova, Sergeĭ Makarov, Victor Kuperman: University over the abyss: the story behind 520 lecturers and 2,430 lecturers in KZ Theresienstadt 1942–1944. Jerusalem 2000, S. 433     Martin Sicherl: Erinnerungen an Prag (1933–1937). In: Eikasmós. Band 4, 1993, S. 85–94     Rudolf M. Wlaschek: Biographia Judaica Bohemiae. Band 1 (2003), S. 4","Quibus ex fontibus Plutarchus libellum ‚De facie in orbe lunae‘ hauserit. Wien 1910 (Dissertationes philologae Vindobonenses 10,2) Stoicorum veterum fragmenta. Vol. 4: Quo indices continentur. Leipzig 1924 Studien zu Philon von Alexandreia. Breslau 1929",JA,https://www.holocaust.cz/de/opferdatenbank/opfer/74467-maximilian-adler/
,Ančerl,Karel,,urspr. Antscherl,,04/11/1908,Tučapy,Österreich-Ungarn,07/03/1973,Toronto,Kanada,tschechoslowakischer,Dirigent. Ab 1950 war er Chefdirigent der Tschechischen Philharmoniker. Emigrierte im August 1968 nach Kanada und leitete dort bis 1972 das Toronto Symphony Orchestra,Musiker,Valerie,Jan (geb im Ghetto 28. Febr. 1943),Musikveranstaltungen,1942 (unbekannt),,,In einer Szene dirigiert er unter Zwang das KZ-Orchester zu dirigieren hatte,34-19.54min,Befreiung (Auschwitz),,https://de.wikipedia.org/wiki/Karel_An%C4%8Derl ,http://www.ghetto-theresienstadt.de/pages/a/ancerlk.htm ,,"Jaroslav Bužga: Ančerl, Karel. In: Ludwig Finscher (Hrsg.): Die Musik in Geschichte und Gegenwart. Zweite Ausgabe, Personenteil, Band 1 (Aagard – Baez). Bärenreiter/Metzler, Kassel u. a. 1999, ISBN 3-7618-1111-X, Sp. 627–628 (Online-Ausgabe, für Vollzugriff Abonnement erforderlich)",,,JA,https://de.wikipedia.org/wiki/Karel_An%C4%8Derl#/media/Datei:BASA-1772K-1-2376-1-Karel_An%C4%8Derl.jpg 
,Baeck,Leo Arje Lipmann,Dr. ,,A,05/23/1873,Lissa,Provinz Posen,11/02/1956,London,Vereinigtes Königreich,deutscher,"Rabbiner und  Präsident der Reichsvertretung der Deutschen Juden, sowie nach dem Krieg Professor am Hebrew Union College in Cincinnati (USA)",Religion,Nathalie Hamburger,,"Mitglied im Ältestenrat.Außerdem initiierte er zusammen mit Professor Maximilian Adler aus Prag und Professor Emil Utitz aus Halle eine Vortragsreihe, die er selbst mit einem Vortrag über Platon begann. Es existiert eine Liste seiner Vortragsthemen (geschrieben in Sütterlinschrift), auf der genannt sind: Platon, Maimonides, Spinoza, Kant, Mendelssohn, Hermann Cohen, Die jüdische Religionsphilosophie des Mittelalters, Die jüdische Mystik des Mittelalters, Das Problem von Leib und Seele, Die Lebenseinheit in Leib und Seele, Der Sinn der Geschichte, Die Geschichtsschreibung, Die Jahrhunderte von der Zerstörung des ersten bis zu der des zweiten Tempels, Die Zeit der Makkabäer. Soweit bekannt, hielt er seinen letzten Vortrag mit dem Titel Galileo Galilei und das Ende des Mittelalters am 23. Dezember 1944.",1/26/43,10764/1 - 86,,"Vortrag, rechts neben dem Sprecher Eppstein",33,Befreiung,,https://de.wikipedia.org/wiki/Leo_Baeck ,http://www.ghetto-theresienstadt.de/pages/b/baeckl.htm ,https://www.leo-baeck-foundation.org/ ,"Friedrich Wilhelm Bautz: Leo Baeck. In: Biographisch-Bibliographisches Kirchenlexikon (BBKL). Band 1, Bautz, Hamm 1975. 2., unveränderte Auflage Hamm 1990, ISBN 3-88309-013-1, Sp. 334–335.     Bastian Fleermann: „…das beste Rabbinat in Deutschland.“ Biografische Skizzen zu den Düsseldorfer Rabbinern von 1706 bis 1941. In: Düsseldorfer Jahrbuch, 81, 2011, S. 107–170.     Albert H. Friedlander: Leo Baeck: Teacher of Theresienstadt. Overlook Press 1991, ISBN 978-0-87951-393-1 (Reprint der Ausgabe 1973, 1. Aufl. 1968)     Albert H. Friedlander: Leo Baeck, Leben und Lehre. Stuttgart 1973     Elias H. Füllenbach: Rabbiner Leo Baeck – „Für die anderen zu leben und doch im Eigenen zu stehen“. In: Düsseldorfer Persönlichkeiten. Hg. Edmund Spohr, Hatto Küffner, Kleve 2004 (= Düsseldorf. Eine Stadt zwischen Tradition und Vision), S. 168–181.     Eckhard Hansen, Florian Tennstedt (Hrsg.) u. a.: Biographisches Lexikon zur Geschichte der deutschen Sozialpolitik 1871 bis 1945. Band 2: Sozialpolitiker in der Weimarer Republik und im Nationalsozialismus 1919 bis 1945. Kassel University Press, Kassel 2018, ISBN 978-3-7376-0474-1, S. 7 f. (Online, PDF; 3,9 MB).     Maurice-Ruben Hayoun: Leo Baeck. Repräsentant des liberalen Judentums. WBG, Darmstadt 2015, ISBN 978-3-534-25758-4.     Georg Heuberger, Fritz Backhaus, Leo Baeck 1873–1956. Aus dem Stamme von Rabbinern, Jüdischer Verlag im Suhrkamp, Frankfurt am Main 2001, ISBN 3-633-54169-1.     Walter Homolka: Jüdische Identität in der Modernen Welt. Leo Baeck und der deutsche Protestantismus. Kaiser, Gütersloh 1994, ISBN 3-579-00259-7.     Walter Homolka: Jüdisches Denken – Leo Baeck, Perspektiven für heute. Herder spektrum, Freiburg 2006, ISBN 978-3-451-05728-1.     Walter Homolka, Elias H. Füllenbach: Leo Baeck – Eine Skizze seines Lebens. Gütersloher Verlagshaus, Gütersloh 2006, ISBN 978-3-579-06429-1.     Walter Homolka, Elias H. Füllenbach: Rabbiner Leo Baeck. Ein Lebensbild. Zum Gedenken an Rabbiner Stanley Dreyfus. Herausgegeben vom Centrum Judaicum. Verlag Hentrich & Hentrich, Teetz 2009, ISBN 978-3-938485-84-2 (= Jüdische Miniaturen Band 75).     Ralf Koerrenz: Das Judentum als Lerngemeinschaft. Zur Konzeption einer pädagogischen Religion bei Leo Baeck. Deutscher Studien-Verlag, Weinheim 1992 ISBN 3-89271-342-1.     Reichshandbuch der deutschen Gesellschaft – Das Handbuch der Persönlichkeiten in Wort und Bild. Erster Band, Deutscher Wirtschaftsverlag, Berlin 1930, ISBN 3-598-30664-4.     Gerd Stecklina: »Was wir am Mitmenschen tun, ist Gottesdienst«. Leo Baeck 1873 – 1956, in Sabine Hering Hg., mit Sandra Schönauer: Jüdische Wohlfahrt im Spiegel von Biographien. Schriftenreihe Geschichte der jüdischen Wohlfahrt in Deutschland, 2. Hgg. Hering, Gudrun Maierhof, Ulrich Stascheit. Fachhochschulverlag, Frankfurt 2007 ISBN 3936065802 S. 66–73 (mit 1 Foto)",,"    Werke. Hrsg. von Albert H. Friedlander, Bertold Klappert und Werner Licharz. Im Auftr. des Leo Baeck Instituts, Gütersloher Verlagshaus, New York, Gütersloh 1998–2003 [Sonderausgabe: Gütersloher Verlagshaus, Gütersloh 2006].         Bd. 1: Das Wesen des Judentums. 1998, ISBN 3-579-02334-9.         Bd. 2: Dieses Volk. Jüdische Existenz. 1996, ISBN 3-579-02335-7.         Bd. 3: Wege im Judentum. Aufsätze und Reden. 1997, ISBN 3-579-02336-5.         Bd. 4: Aus drei Jahrtausenden. Das Evangelium als Urkunde der jüdischen Glaubensgeschichte. 2000, ISBN 3-579-02337-3.         Bd. 5: Nach der Schoa – warum sind Juden in der Welt? Schriften aus der Nachkriegszeit. 2002.         Bd. 6: Briefe, Reden, Aufsätze. 2003.  Einzelschriften      Das Wesen des Judentums. Nathansen & Lamm, Berlin 1905. (Schriften der Gesellschaft zur Förderung der Wissenschaft des Judentums).         Das Wesen des Judentums. 6. Auflage 1960.     Die jüdische religiöse Erziehung. In: Handbuch der Pädagogik. Hrsg. von Hermann Nohl. Band 3. Langensalza [u. a.], 1930.     Romantische Religion. 1922.     Die Pharisäer. Schocken, Berlin 1934. (Bücherei des Schocken Verlags. 6.)     Religion und Weltfriede: Überwindung der Kriege. Sammelschrift mit Beiträgen von Leo Baeck, Günther Dehn, Alfred Klee. Hrsg. von der Arbeitsgemeinschaft der Konfessionen für den Frieden. 1930.     Chaim Nachman Bialik. Eine Einführung in sein Leben und sein Werk. 1935.     Das Evangelium als Urkunde der jüdischen Glaubensgeschichte. 1938.     Der Sinn der Geschichte. 1946.     Maimonides, der Mann, sein Werk und seine Wirkung. 1954.     Dieses Volk – jüdische Existenz. 1955.     Aus drei Jahrtausenden. Wissenschaftliche Untersuchungen und Abhandlungen zur Geschichte des jüdischen Glaubens. 1958.     Von Moses Mendelssohn zu Franz Rosenzweig: Typen jüdischen Selbstverständnisses in den letzten beiden Jahrhunderten. 1958.     Paulus, die Pharisäer und das Neue Testament. Drei Aufsätze. Ner-Tamid Verlag, Frankfurt 1961.     Vorträge und Ansprachen. Mit einem Geleitwort von Leo Baeck. Herausgegeben von der Grossloge Deutschland VIII U. O. B. B. 2., verb. Auflage, Maximilian Stein, Leo Baeck.     Zum 50jährigen Bestehen des Ordens Bne Briss in Deutschland. U.O.B.B. (Enthält außerdem: Alfred Goldschmidt : Der deutsche Distrikt des Ordens Bne Briss. Arthur Löwenstamm: Soziologie der Loge. Bruderworte. Zusammengestellt von Paul Rosenfeld.) Leo Baeck, Einleitung.     Geschichte der Juden. 3 Bände, 1954–1959, 1965.",JA,https://www.leo-baeck-foundation.org/ 
,"Bleichröder, von",Ellie Marie Friederike Julie,,,A,09/17/1894,Drehsa,Deutsches Reich,1989 (unbekannt),unbekannt,unbekannt,deutsche,"Tochter von James und Harriet von Bleichröder. Am 9. Dezember 1916 heiratete sie den Kaufmann Rudolph Alfred Herrschel. Er war Inhaber der Rohtabakgroßhandlung Rudolph A. Herrschel. In den 1950er Jahren Kommanditistin des Münchner Bankhauses Neuvians, Reuschel & Co.",k.A.,Rudolf Herschel (geschieden),1,unbekannt,7/27/42,1/31 – 2364 ,,"Als prominente Insassin des Konzentrationslagers ist sie in den Szenen 22, 23 und 33 des Propagandafilms Theresienstadt zu sehen. In Szene 33, dem Vortrag von Prof. Utitz, sitzt sie in der zweiten Reihe und ist als einzige junge Frau deutlich zu erkennen. ","22, 23 ; 33 – 18.51min ",Befreiung,,https://de.wikipedia.org/wiki/Ellie_von_Bleichr%C3%B6der#cite_note-2 ,http://www.ghetto-theresienstadt.de/pages/b/bleichroedere.htm,,,,https://archives.cjh.org//repositories/5/resources/6774 ,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild118.gif 
,Cohen,Cornelia,,geb. Spitzer,,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,"Ehefrau von Cohen, David",k.A.,David Cohen,,unbekannt,9/23/43,,,In der Bücherei Szene 32 und Abendessen Szene 37,32 ; 37,Befreiung (?),,,,,,,,NEIN,
,Cohen,David,Prof. Dr. ,,,12/31/1882,Deventer,Niederlande,09/03/1967,Amsterdam,Niederlande,niederländischer,"Althistoriker, Papyrologe, Vorsitzender des Judenrats der Niederlande zur Zeit des Nationalsozialismus","Wissenschaft, Religion",Cornelia Spitzer,,Mitglied im Ältestenrat,9/23/43,,,In der Bücherei Szene 32 und Abendessen Szene 37,32 ; 37,Befreiung,,https://de.wikipedia.org/wiki/David_Cohen_(Historiker) ,http://www.ghetto-theresienstadt.de/pages/c/cohend.htm ,"Huygens ING - Amsterdam. Quelle: JW Schulte Nordholt, 'Cohen, David (1882-1967)', im Biografischen Wörterbuch der Niederlande . URL: http://resources.huygens.knaw.nl/bwn1880-2000/lemmata/bwn3/cohend  [11-12-2013]"," Hans G. Adler: Theresienstadt. Das Antlitz einer Zwangsgemeinschaft 1941–1945. Nachwort Jeremy Adler. Wallstein, Göttingen 2005 ISBN 3-89244-694-6 (Reprint der 2. verb. Auflage Mohr-Siebeck, Tübingen 1960. 1. Aufl. ebd. 1955)     Israel Gutman (Hrsg.): Enzyklopädie des Holocaust – Die Verfolgung und Ermordung der europäischen Juden. Piper Verlag, München/Zürich 1998, 3 Bände, ISBN 3-492-22700-7     Anna Hájková: Die Juden aus den Niederlanden in Theresienstadt. In: Theresienstädter Studien und Dokumente 2002, S. 135–201.     Pieter Herman Schrijvers: Rome, Athene, Jeruzalem. Leven en werk van prof. dr. David Cohen. Historische uitgeverij, Groningen 2000. – Rez. von: J. C. H. Blom, in: BMGN – Low Countries Historical Review 116, 2001, afl. 2, S. 198–203, (online) (PDF).",,,JA,http://resources.huygens.knaw.nl/bwn1880-2000/lemmata/bwn3/cohend 
,Cohn,Alexander,Dr.,,A,09/04/1876,Königsberg,Preußen,04/07/1951,Berlin,Bundesrepublik Deutschland,deutscher,"Kammergerichtsrat und dekorierter Frontkämpfer. Autor juristischer Werke, Mitarbeiter einer Kommentierung des Handelsgesetzbuches gemeinsam mit Albert Mosse.",Jura,Else Cohn (geb. Hiller),unbekannt,unbekannt,1/28/43,10723 – I/87,,Vortrag S33,33,Befreiung,,https://de.wikipedia.org/wiki/Alexander_Cohn ,http://www.ghetto-theresienstadt.de/pages/c/cohna.htm ,,"Hans Bergemann/Simone Ladwig-Winters, Kammergericht (Hrsg.): Jüdische Richter am Kammergericht nach 1933 – Eine Dokumentation, Verlag Carl Heymanns, 2004, ISBN 978-3-452-25833-5     Axel Feuß: Das Theresienstadt-Konvolut, Altonaer Museum in Hamburg, Dölling und Galitz Verlag, Hamburg/München 2002, ISBN 3-935549-22-9",,"Herausgabe der Neuauflage Handelsgesetzbuch von Litthauer, 1905 (gemeinsam mit Albert Mosse)     Auslieferungsverträge des Deutschen Reiches und der deutschen Einzelstaaten, 1908",JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild112.gif 
,Czech,Elisabeth,,,,unbekannt,unbekannt,Tschecheslowakei (vermutlich),nach 1948,London (vermutlich),Vereinigtes Königreich,tschechische,Ehefrau von Dr. Ludwig Czech (ehm. Minister für Wohlfahrt und Gesundheit in Prag),k.A.,,,unbekannt,3/22/42,,,Konzert S34,34,Befreiung,,,,https://wiener.soutron.net/Portal/Default/en-GB/recordview/index/106300 ,,,,NEIN,
,Dessauer,Heinrich,Dr.,,B,09/08/1883,Wien,Österreich-Ungarn,nach 12.10.1944 (Deportation n. Auschwitz),KZ Auschwitz,Generalgouvernement (Polen),österreichischer,"Rechtsanwalt, Gerichtsdolmetscher, Mitglied Ältestenrat in wien ",Religion,Marietta Dessauer (geb. Friedmann),2,unbekannt,1/29/43,,,Konzert S34,34,ermordet,,,http://www.ghetto-theresienstadt.de/pages/d/dessauerh.htm ,,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild109.gif 
,Eppstein,Paul Maximilian,Dr.,,Aa,03/04/1902,Ludwigshafen,Deutsches Reich,27./28.11.1944,Ghetto Theresienstadt,Tschechoslowakei,deutscher,"Soziologe,  lehrte in den 1930er Jahren an der Hochschule für die Wissenschaft des Judentums in Berlin Soziologie, ab 1933 Vertreter der Reichsvereinigung der Juden in Deutschland",Wissenschaft,Hedwig Eppstein (geb. Strauß),unbekannt,Vorsitzender des Ältestenrates (Judenältester),1/26/43,I/86,,"FEHLER? Angeblich starb er am 28.09.1944, dennoch ist er in Szene 10 zu sehen. Handelt es sich um die falsche Szene? Oder hat man da Material vom 1942er Film verwendet? Kein Fehler, denn die Fußballszene wurde laut dem Film Liga Terezin auch schon früher, nämlich am 1.09.44 gedreht. Es existiert übrigens noch ein Szenen Bild, wo diese Sitzung in einem anderen Raum stattfindet.",10,ermordet,,https://de.wikipedia.org/wiki/Paul_Eppstein ,http://www.ghetto-theresienstadt.de/pages/e/eppsteinp.htm ,https://www.holocaust.cz/de/opferdatenbank/opfer/9797-hedwig-eppstein/ ,"John F. Oppenheimer (Red.) u. a.: Lexikon des Judentums. 2. Auflage. Bertelsmann Lexikon Verlag, Gütersloh u. a. 1971, ISBN 3-570-05964-2, Sp. 187.     Karl Otto Watzinger: Geschichte der Juden in Mannheim 1650–1945. Kohlhammer, Stuttgart 1984, ISBN 3-17-008696-0, S. 89–92.     Israel Gutman (Hrsg.): Enzyklopädie des Holocaust – Die Verfolgung und Ermordung der europäischen Juden. 3 Bände, Piper Verlag, München/Zürich 1998, ISBN 3-492-22700-7.     Beate Meyer: Tödliche Gratwanderung – Die Reichsvereinigung der Juden in Deutschland zwischen Hoffnung, Zwang, Selbstbehauptung und Verstrickung (1939–1945). Göttingen 2011, ISBN 978-3-8353-0933-3.     Wolfgang Benz: Deutsche Juden im 20. Jahrhundert : eine Geschichte in Porträts. München : Beck, 2011, ISBN 978-3-406-62292-2, darin: „Judenältester“ in Theresienstadt: Paul Eppstein, S. 65–77     Claus-Dieter Krohn: Eppstein, Paul. In: Harald Hagemann, Claus-Dieter Krohn (Hrsg.): Biographisches Handbuch der deutschsprachigen wirtschaftswissenschaftlichen Emigration nach 1933. Band 1: Adler–Lehmann. Saur, München 1999, ISBN 3-598-11284-X, S. 142–143.     Eppstein, Paul, in: Joseph Walk (Hrsg.): Kurzbiographien zur Geschichte der Juden 1918–1945. München : Saur, 1988, ISBN 3-598-10477-4, S. 81f.     Eppstein, Hedwig, in: Joseph Walk (Hrsg.): Kurzbiographien zur Geschichte der Juden 1918–1945. München : Saur, 1988, ISBN 3-598-10477-4, S. 81",,,JA,https://www.geni.com/photo/view/6000000050897081907?album_type=photos_of_me&photo_id=6000000050955430138 
,Fischer,Karel,,,,06/01/1913,Zdíkov,Tschecheslowakei,09/28/1944,KZ Auschwitz,Generalgouvernement (Polen),tschechoslowakischer,Dirigent,Kunst,,,"Wirkte mit am Propagandafilm ( Felix Mendelssohn-Bartholdy (""Elias""; ""Sommernachtstraum""; ""Violinsonate""), Musical direction : Karel Fischer)",7/13/42,Aaq,,Dirigent,1,ermordet,,,,http://www.musiques-regenerees.fr/Terezin/AutresCompositeurs/GerronFilm.html ; https://yvng.yadvashem.org/nameDetails.html?language=en&itemId=4760579&ind=1 ; https://www.holocaust.cz/de/datenbank-der-digitalisierten-dokumenten/dokument/120792-fischer-karel-pripusteni-k-ridicske-zkousce/ ,,,,JA,https://www.holocaust.cz/de/datenbank-der-digitalisierten-dokumenten/dokument/120792-fischer-karel-pripusteni-k-ridicske-zkousce/ 
,Friediger,Max Moses,Dr.,,B,04/09/1884,Budapest,Ungarn,04/09/1947,Kopenhagen,Dänemark,dänischer,Rabbiner (kgl. dänischer Oberrabiner),Religion,Fanny Friediger (geb. Seegall),2,"Mitglied im Ältestenrat, Mitarbeiter der Fürsorge",10/6/43,,,Terrasse Szene 4,4,Weiße Busse,,https://de.wikipedia.org/wiki/Max_Friediger ,http://www.ghetto-theresienstadt.de/pages/f/friedigerm.htm,,"Hans Günther Adler: Theresienstadt. Das Antlitz einer Zwangsgemeinschaft 1941-1945 Nachwort Jeremy Adler. Wallstein, Göttingen 2005 ISBN 3-89244-694-6 (Reprint der 2. verb. Auflage Mohr-Siebeck, Tübingen 1960. 1. Aufl. ebd. 1955)     Axel Feuß: Das Theresienstadt-Konvolut, Altonaer Museum in Hamburg, Dölling und Galitz Verlag, Hamburg/München 2002, ISBN 3-935549-22-9. ; Esriel Hildesheimer, Mordechai Eliav: Das Berliner Rabbinerseminar 1873-1938, Berlin 2008, ISBN 9783938485460, S. 115",,"Max Friediger: Theresienstadt, Kopenhagen 1946 (dänisch)",JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild101.gif 
,Friedländer,Johann,,,A,11/05/1882,Bern,Schweiz,01/20/1945,zwischen Auschwitz und Pless (Todesmarsch),Generalgouvernement (Polen),deutsch-österreichischer,Feldmarschallleutnant des österreichischen Bundesheeres. Wurde am 16. Oktober 1944 nach dem Tod seiner Frau Leona (siehe nachstehende Liste) nach Birkenau zum Arbeitseinsatz deportiert und 1945 auf dem Marsch von Auschwitz nach Pless von den Wachmannschaften erschossen.,Militär,Leona Margarethe (geb. Abel),kinderlos,unbekannt,9/3/43,936 – IV/14,,Terrasse Szene 4,4,ermordet,,https://de.wikipedia.org/wiki/Johann_Friedl%C3%A4nder ,http://www.ghetto-theresienstadt.de/pages/f/friedlaenderj.htm,https://www.welt.de/welt_print/kultur/literatur/article5950928/Der-Feldmarschall-hat-zwei-Kugeln-bekommen.html ,"Johann Friedländer, Offizier und NS-Opfer. In: Die Presse (Wien), 17. Jänner 1995.     Martin Senekowitsch: Feldmarschalleutnant Johann Friedländer, 1882–1945. Ein vergessener Offizier des Bundesheeres. Wien: BMLV, Büro für Wehrpolitik, 1995.",,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild99.gif
,Friedmann,Desider,Dr. ,,Aa,11/24/1880,Boskovice,Österreich-Ungarn,1944 (Oktober),KZ Auschwitz,Generalgouvernement (Polen),österreichischer,"Rechtsanwalt, Präsident der Israelitischen Kultusgemeinde Wien",,"Ella Friedmann (1897–1944), geb. Stiassni, (seit Januar 1921 verheiratet)"," Töchter Hedwig (* 1923) und Ernestine (* 1921), beide nach Israel emigriert 1938/39","Mitglied im Ältestenrat, Stellvertreter v. Jakob Eppstein, Leiter der Bank der Jüdischen Selbstverwaltung.Die Nazis wollten damit der Bank den Schein der Seriosität geben. Friedmann mußte während des Besuchs der Kommission des =>Internationalen Roten Kreuzes den biederen Bankmenschen spielen, hielt vor der Kommission Vortrag, bot Zigarren an, wurde von Haindl als Chauffeur in einem Mercedes Kompressor durchs Ghetto gefahren, mußte vor den Kameras Kurt Gerrons in dem Propagandafilm agieren.",11/24/42,,,Darstellung des Bankdirektors 22; Bücherei S32,22; 32,ermordet,,https://de.wikipedia.org/wiki/Desider_Friedmann,http://www.ghetto-theresienstadt.de/pages/f/friedmannd.htm ,"Bilder: - http://collections.jewishmuseum.cz/index.php/Detail/Object/Show/object_id/10705  - http://www.yadvashem.org/yv/en/exhibitions/last_portrait/images/karlinsky/05.jpg Marianne Enigl: Zeitgeschichte: Die Bürokratie der Opfer - Österreichs Juden: Ihr Leben und ihr Sterben. (Teil 1). In: Profil. Ausgabe 27, 2. Juli 2007, S. 30 ff.","Avraham Barkai, Paul Mendes-Flohr, Steven M Lowenstein: Deutsch-jüdische Geschichte in der Neuzeit. C. H. Beck, 1997, ISBN 3-406-39706-9. Hans Günther Adler: Theresienstadt. Das Antlitz einer Zwangsgemeinschaft 1941–1945. Nachwort Jeremy Adler. Wallstein, Göttingen 2005, ISBN 3-89244-694-6 (Reprint der 2., verb. Auflage. Mohr-Siebeck, Tübingen 1960. 1. Aufl. ebenda 1955). Claims Resolution Tribunal: Aktenzeichen: CV96-4849 betreffend das Konto des Kontoinhabers Desider Friedmann. (Inoffizielle Übersetzung des englischen Originaltextes) (pdf; 26 kB) Marianne Enigl: In jedem Fall trägt der Jude die Verantwortung (Teil 2). In: Profil. Ausgabe 28, 9. Juli 2007, S. 36 ff.",,,JA,https://de.wikipedia.org/wiki/Desider_Friedmann#/media/Datei:Desider_Friedmann.jpg
,Gans ,Heinrich,Dr.,,A,10/15/1874,Eureka,"Kansas, USA",unbekannt,unbekannt,unbekannt,deutscher,Wirklicher Hofrat der Wiener Polizeidirektion i.R.,Polizei,Olga Gans (geb. Otte),1,unbekannt,9/25/42,634 - IV11,,Konzert S34,34,unbekannt,,,http://www.ghetto-theresienstadt.de/pages/g/gansh.htm ,,,,,JA,http://www.ghetto-theresienstadt.de/images/prominente/Bild96.gif 
,Gerron,Kurt,,eigtl. Gerson,,05/11/1897,Berlin,Deutsches Reich,10/28/1944,KZ Auschwitz,Generalgouvernement (Polen),deutscher,"Schauspieler, Sänger, Regisseur",Kunst,Olga Gerron (geb. Meyer),unbekannt,"Gründer und Leiter des Ghetto-Kabaretts „Karussell“, Verpflichtet den Propagandafilm zu inszenieren",2/25/44,XXIV/4,,Regisseur,,ermordet,,https://de.wikipedia.org/wiki/Kurt_Gerron,http://www.ghetto-theresienstadt.de/pages/g/gerronk.htm ,,"Barbara Felsmann, Karl Prümm: Kurt Gerron – Gefeiert und gejagt. 1897–1944. Das Schicksal eines deutschen Unterhaltungskünstlers. Berlin, Amsterdam, Theresienstadt, Auschwitz (= Beiträge zu Theater, Film und Fernsehen aus dem Institut für Theaterwissenschaft der Freien Universität Berlin. Bd. 7 = Reihe deutsche Vergangenheit. Nr. 63). Edition Hentrich, Berlin 1992, ISBN 3-89468-027-X.     Ulrich Liebe: Verehrt, Verfolgt, Vergessen. Schauspieler als Naziopfer. Beltz Quadriga, Weinheim u. a. 1992, ISBN 3-88679-197-1.     Roy Kift: Camp Comedy. A play featuring original cabaret songs from Gerron’s Karussell cabaret, and dealing with Gerron’s moral dilemma in making the propaganda film for Goebbels. In: Robert Skloot (Hrsg.): The theatre of the Holocaust. Band 2: Six plays. University of Wisconsin Press, Madison WI u. a. 1999, ISBN 0-299-16274-5, German translation available from the author (weitere Information: Online verfügbar).     Katja B. Zaich: „Ein Emigrant erschiene uns sehr unerwünscht.“ K. G. als Filmregisseur, Schauspieler und Cabaretier in den Niederlanden. In: Claus-Dieter Krohn, Lutz Winckler, Irmtrud Wojak, Wulf Koepke (Hrsg.): Film und Fotografie (= Exilforschung. Ein internationales Jahrbuch. Bd. 21). Edition Text und Kritik, München 2003, ISBN 3-88377-746-3, S. 112–128.     Charles Lewinsky: Gerron. Roman. Nagel & Kimche, Zürich 2011, ISBN 978-3-312-00478-2.     Kay Weniger: „Es wird im Leben dir mehr genommen als gegeben ….“ Lexikon der aus Deutschland und Österreich emigrierten Filmschaffenden 1933 bis 1945. Eine Gesamtübersicht. ACABUS-Verlag, Hamburg 2011, ISBN 978-3-86282-049-8, S. 185–188.",,vgl. Werke von Gerron https://de.wikipedia.org/wiki/Kurt_Gerron ,JA ,https://www.holocaust.cz/de/datenbank-der-digitalisierten-dokumenten/dokument/444305-kurt-gerron/ 
